Universitas	Provinsi	Kota	Program Studi	Bidang Ilmu	Jenjang	Daya Tampung 2026	Peminat 2025	Peminat 2025 (Num)	Rasio	Situs
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN DOKTER HEWAN	KEDOKTERAN HEWAN	Sarjana	84	488	488	1:6	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK SIPIL	TEKNIK SIPIL	Sarjana	98	736	736	1:8	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK MESIN	TEKNIK MESIN	Sarjana	42	311	311	1:8	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK KIMIA	TEKNIK KIMIA	Sarjana	63	208	208	1:4	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	ARSITEKTUR	ARSITEKTUR	Sarjana	56	282	282	1:6	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK ELEKTRO	TEKNIK ELEKTRO	Sarjana	56	349	349	1:7	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	AGROTEKNOLOGI	AGROTEKNOLOGI	Sarjana	42	248	248	1:6	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	AGRIBISNIS	AGRIBISNIS	Sarjana	56	379	379	1:7	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PETERNAKAN	PETERNAKAN	Sarjana	51	141	141	1:3	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNOLOGI PANGAN DAN HASIL PERTANIAN	TEKNOLOGI PANGAN	Sarjana	56	175	175	1:4	https://pmb.usk.ac.id/
