Universitas	Provinsi	Kota	Program Studi	Bidang Ilmu	Jenjang	Daya Tampung 2026	Peminat 2025	Peminat 2025 (Num)	Rasio	Situs
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN DOKTER HEWAN	KEDOKTERAN HEWAN	Sarjana	84	488	488	1:6	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK SIPIL	TEKNIK SIPIL	Sarjana	98	736	736	1:8	https://pmb.usk.ac.id/
UNIVERSITAS INDONESIA	DKI Jakarta	Kota Depok	ILMU KOMPUTER	SAINTEK	Sarjana	150	2500	2500	1:17	https://simak.ui.ac.id/
UNIVERSITAS GADJAH MADA	DI Yogyakarta	Kab. Sleman	MANAJEMEN	SOSHUM	Sarjana	120	3200	3200	1:27	https://um.ugm.ac.id/
INSTITUT TEKNOLOGI BANDUNG	Jawa Barat	Kota Bandung	TEKNIK INFORMATIKA	SAINTEK	Sarjana	200	4000	4000	1:20	https://admission.itb.ac.id/
UNIVERSITAS PADJADJARAN	Jawa Barat	Kab. Sumedang	ILMU KOMUNIKASI	SOSHUM	Sarjana	180	3600	3600	1:20	https://smup.unpad.ac.id/
UNIVERSITAS AIRLANGGA	Jawa Timur	Kota Surabaya	KEDOKTERAN	SAINTEK	Sarjana	250	4500	4500	1:18	https://ppmb.unair.ac.id/
UNIVERSITAS DIPONEGORO	Jawa Tengah	Kota Semarang	HUKUM	SOSHUM	Sarjana	220	3000	3000	1:14	https://pmb.undip.ac.id/
UNIVERSITAS BRAWIJAYA	Jawa Timur	Kota Malang	AGRIBISNIS	SAINTEK	Sarjana	300	2800	2800	1:9	https://selma.ub.ac.id/
INSTITUT PERTANIAN BOGOR	Jawa Barat	Kab. Bogor	ILMU GIZI	SAINTEK	Sarjana	100	1500	1500	1:15	https://admisi.ipb.ac.id/
UNIVERSITAS NEGERI MALANG	Jawa Timur	Kota Malang	TEKNIK ELEKTRO	SAINTEK	Sarjana	80	220	220	1:3	https://seleksi.um.ac.id/
UNIVERSITAS HASANUDDIN	Sulawesi Selatan	Kota Makassar	ILMU KELAUTAN	SAINTEK	Sarjana	120	250	250	1:2	https://regpmb.unhas.ac.id/
UNIVERSITAS SAM RATULANGI	Sulawesi Utara	Kota Manado	TEKNIK INFORMATIKA	SAINTEK	Sarjana	100	600	600	1:6	https://regmaba.unsrat.ac.id/
UNIVERSITAS SEBELAS MARET	Jawa Tengah	Kota Surakarta	SAINS DATA	SAINTEK	Sarjana	40			Prodi Baru	https://spmb.uns.ac.id/
UNIVERSITAS PADJADJARAN	Jawa Barat	Kab. Sumedang	KECERDASAN BUATAN	SAINTEK	Sarjana	35			Prodi Baru	https://smup.unpad.ac.id/
